filename,start,end,duration
note_000.wav,1.312,1.556,0.244
note_001.wav,1.556,1.869,0.313
note_002.wav,1.869,2.148,0.279
note_003.wav,2.148,2.322,0.174
note_004.wav,2.322,2.601,0.279
note_005.wav,2.601,3.17,0.569
note_006.wav,3.762,6.664,2.902
note_007.wav,7.187,7.593,0.406
note_008.wav,7.593,8.127,0.534
note_009.wav,8.127,8.29,0.163
note_010.wav,8.29,14.454,6.165
note_011.wav,14.454,14.652,0.197
note_012.wav,14.652,14.965,0.313
note_013.wav,14.965,15.221,0.255
note_014.wav,15.221,15.395,0.174
note_015.wav,15.395,15.673,0.279
note_016.wav,15.673,15.94,0.267
note_017.wav,15.94,16.254,0.313
note_018.wav,16.254,16.533,0.279
note_019.wav,26.807,27.086,0.279
note_020.wav,27.086,27.341,0.255
note_021.wav,27.341,27.783,0.441
note_022.wav,27.783,28.549,0.766
